issued_id,issued_member_id,issued_book_name,issued_date,issued_book_isbn,issued_emp_id
IS101,C2291,"Monitored Human-Resource Definition",2024-07-08,978-8-218-19287-3,E116
IS102,C1913,"Implemented Fresh-Thinking Architecture",2024-07-31,978-8-562-25860-3,E125
IS103,C3827,"Multi-Channeled Dedicated Intranet",2024-02-10,978-8-104-22934-3,E126
IS104,C3860,"Synergistic Needs-Based Pricing Structure",2025-04-21,978-7-646-95029-5,E117
IS105,C470,"Cross-Group 4Thgeneration Secured Line",2024-07-31,978-5-194-80206-3,E116
IS106,C962,"Organized Holistic Knowledgebase",2025-04-21,978-7-521-54605-2,E111
IS107,C1898,"Up-Sized Asynchronous Product",2024-04-05,978-5-453-69298-7,E121
IS108,C3427,"Re-Engineered Background Project",2025-08-16,978-4-515-19123-9,E127
IS109,C239,"Phased Next Generation Success",2024-08-12,978-0-847-66113-3,E118
IS110,C429,"Re-Contextualized Clear-Thinking Definition",2024-11-13,978-7-316-63368-7,E132
IS111,C3119,"Diverse Coherent Hardware",2025-08-04,978-9-881-11832-8,E127
IS112,C3546,"Decentralized Transitional Knowledgebase",2024-03-10,978-0-399-95119-6,E122
IS113,C1831,"Innovative Web-Enabled Orchestration",2025-06-01,978-2-484-96034-9,E107
IS114,C757,"Phased Multimedia Interface",2024-07-26,978-3-811-99881-0,E117
IS115,C372,"Compatible Methodical Middleware",2025-07-20,978-1-923-28322-1,E123
IS116,C2567,"Implemented Cohesive Functionalities",2024-07-19,978-4-572-31821-6,E136
IS117,C1439,"Progressive Modular Budgetary Management",2024-12-23,978-6-100-14543-4,E130
IS118,C213,"Ergonomic Intangible Paradigm",2025-11-10,978-5-468-83446-8,E104
IS119,C2728,"Proactive Demand-Driven Throughput",2025-02-11,978-3-868-85584-2,E112
IS120,C1917,"Persistent Multimedia Database",2025-08-10,978-8-723-36071-2,E109
IS121,C1742,"Diverse Zero Tolerance Matrices",2024-07-07,978-0-882-80972-0,E113
IS122,C1352,"Pre-Emptive Scalable Installation",2024-07-08,978-5-597-69067-5,E121
IS123,C437,"Monitored 3Rdgeneration Software",2025-03-30,978-4-129-33647-4,E108
IS124,C1123,"Polarized Systematic Support",2025-07-15,978-8-316-36712-8,E134
IS125,C4072,"Centralized Bifurcated Matrix",2025-10-02,978-5-666-31627-7,E109
IS126,C2534,"Robust Impactful Groupware",2025-05-24,978-9-557-35646-3,E127
IS127,C3948,"Future-Proofed Human-Resource Solution",2024-09-16,978-4-343-22571-0,E121
IS128,C2060,"Team-Oriented Client-Server Analyzer",2024-08-07,978-2-397-15513-4,E109
IS129,C811,"Integrated Scalable Paradigm",2025-10-16,978-5-363-31229-1,E138
IS130,C1442,"Mandatory Empowering Superstructure",2024-06-04,978-9-105-20384-0,E119
IS131,C446,"Centralized Full-Range Data-Warehouse",2024-12-09,978-9-459-79767-4,E127
IS132,C846,"Integrated Human-Resource Database",2025-08-04,978-5-279-94957-8,E126
IS133,C1646,"Public-Key Scalable Functionalities",2024-01-31,978-2-912-57381-8,E137
IS134,C185,"Seamless Systematic Core",2024-03-05,978-1-901-26225-9,E102
IS135,C2388,"Right-Sized Methodical Project",2025-06-06,978-3-340-41726-4,E140
IS136,C1037,"Focused Intermediate Protocol",2024-02-01,978-8-533-72240-3,E106
IS137,C1995,"Expanded Hybrid Core",2024-05-28,978-1-730-86917-3,E113
IS138,C2973,"Inverse Interactive Hierarchy",2024-09-09,978-7-509-41979-2,E111
IS139,C1743,"Distributed Upward-Trending Standardization",2025-11-08,978-8-900-73527-5,E140
IS140,C2560,"Synchronized Dynamic Conglomeration",2024-09-11,978-8-401-69469-8,E117
IS141,C465,"Versatile Intermediate Matrix",2025-02-16,978-1-547-23875-3,E124
IS142,C3980,"Synchronized Exuding Collaboration",2025-05-23,978-2-810-49251-0,E137
IS143,C158,"Profound Discrete Time-Frame",2025-03-18,978-8-416-33010-7,E134
IS144,C3268,"Optional Dedicated Function",2025-03-02,978-5-161-43847-4,E130
IS145,C2860,"Networked Multi-State Help-Desk",2024-08-13,978-5-483-66450-2,E132
IS146,C1020,"Ergonomic Incremental Graphical User Interface",2024-10-15,978-8-344-50562-7,E114
IS147,C3976,"Digitized Upward-Trending Website",2024-09-11,978-7-454-30332-4,E118
IS148,C3158,"Programmable Tertiary Conglomeration",2024-07-19,978-1-420-58177-4,E132
IS149,C634,"User-Friendly Didactic Array",2025-04-16,978-6-357-53816-9,E128
IS150,C947,"Programmable Directional Artificial Intelligence",2024-12-20,978-7-143-56210-9,E139
IS151,C3476,"Reactive Bottom-Line Synergy",2024-10-10,978-5-959-29073-0,E119
IS152,C2874,"Face-To-Face 5Thgeneration Alliance",2024-11-10,978-8-150-98759-4,E113
IS153,C839,"Robust Impactful Groupware",2024-07-01,978-9-557-35646-3,E127
IS154,C698,"Expanded Fault-Tolerant Task-Force",2025-02-14,978-8-322-17398-2,E102
IS155,C4099,"Reduced Heuristic Software",2024-03-07,978-7-525-73471-7,E117
IS156,C2631,"Re-Engineered Multi-Tasking Internet Solution",2024-08-04,978-2-603-94513-3,E129
IS157,C1118,"Programmable Hybrid Middleware",2024-12-30,978-6-328-87280-4,E124
IS158,C2903,"Ergonomic Global Orchestration",2024-10-07,978-0-255-29555-9,E130
IS159,C143,"Pre-Emptive Directional Productivity",2025-02-21,978-9-674-52992-9,E131
IS160,C3670,"Focused Intermediate Protocol",2025-12-04,978-8-533-72240-3,E121
IS161,C2939,"User-Friendly Impactful Internet Solution",2025-06-02,978-0-943-90862-4,E126
IS162,C970,"Synergistic Asymmetric Strategy",2024-07-17,978-9-191-24749-6,E125
IS163,C1834,"Organic Secondary Utilization",2024-01-09,978-6-421-32699-7,E139
IS164,C400,"Pre-Emptive Didactic Collaboration",2024-04-28,978-5-556-41502-9,E107
